date,title,summary,url,source,text_for_nlp,is_tesla_related,is_musk_related
2023-01-02 17:18:21,"Tesla Car Sales Grow Slower Than Expected, Amplifying Concerns","Wall Street has grown decidedly pessimistic about Tesla, fearful that Elon Musk, its chief executive, is too focused on Twitter.",https://www.nytimes.com/2023/01/02/business/tesla-fourth-quarter-sales.html,NYT,"Tesla Car Sales Grow Slower Than Expected, Amplifying Concerns Wall Street has grown decidedly pessimistic about Tesla, fearful that Elon Musk, its chief executive, is too focused on Twitter.",1,1
2023-01-03 00:00:00,"Tesla driver who plunged his family off California cliff did so on purpose, officials say","A California man intentionally drove a Tesla off a 250-foot cliff in an attempt to kill his family, officials said Tuesday.",https://www.nbcnews.com/news/us-news/tesla-driver-plunged-family-california-cliff-purpose-officials-say-rcna64170,NBC,"Tesla driver who plunged his family off California cliff did so on purpose, officials say A California man intentionally drove a Tesla off a 250-foot cliff in an attempt to kill his family, officials said Tuesday.",1,0
2023-01-03 00:00:00,Four survive 250-foot plunge off Californian cliff in Tesla,,https://www.nbcnews.com/video/four-survive-250-foot-plunge-off-californian-cliff-in-tesla-159174725567,NBC,Four survive 250-foot plunge off Californian cliff in Tesla,1,0
2023-01-03 00:00:00,Driver arrested for attempted murder after Tesla drove off California cliff,,https://www.nbcnews.com/now/video/driver-arrested-for-attempted-murder-after-tesla-drove-off-california-cliff-159226437993,NBC,Driver arrested for attempted murder after Tesla drove off California cliff,1,0
2023-01-03 00:00:00,Two children and two adults survive after Tesla plunges 250 feet off California cliff,"Two adults and two children, 4 and 9, were rescued from a Tesla that plunged 250 feet off a cliff Monday morning in San Mateo County, California, officials",https://www.nbcnews.com/news/us-news/two-children-two-adults-survive-tesla-plunges-250-feet-california-clif-rcna63999,NBC,"Two children and two adults survive after Tesla plunges 250 feet off California cliff Two adults and two children, 4 and 9, were rescued from a Tesla that plunged 250 feet off a cliff Monday morning in San Mateo County, California, officials",1,0
2023-01-03 00:00:00,Tesla shares tumble following deliveries report,"Shares of Tesla dropped 13% on Tuesday morning, a day after the electric auto maker reported fourth-quarter vehicle production and delivery numbers for 2022.",https://www.nbcnews.com/business/business-news/tesla-shares-tumble-on-deliveries-report-rcna64057,NBC,"Tesla shares tumble following deliveries report Shares of Tesla dropped 13% on Tuesday morning, a day after the electric auto maker reported fourth-quarter vehicle production and delivery numbers for 2022.",1,0
2023-01-03 23:22:05,Twitter to Relax Ban on Political Ads,Elon Musk’s social media service said it would begin to permit cause-based advertising to “facilitate public conversation around important topics.”,https://www.nytimes.com/2023/01/03/technology/twitter-political-ads.html,NYT,Twitter to Relax Ban on Political Ads Elon Musk’s social media service said it would begin to permit cause-based advertising to “facilitate public conversation around important topics.”,0,1
2023-01-04 00:00:00,Twitter says it will relax ban on political advertising,"Twitter says it will ease up on its ban on political advertising, the latest change by Elon Musk as he tries to pump up revenue after purchasing the company.",https://www.nbcnews.com/politics/politics-news/twitter-says-will-relax-ban-political-advertising-rcna64202,NBC,"Twitter says it will relax ban on political advertising Twitter says it will ease up on its ban on political advertising, the latest change by Elon Musk as he tries to pump up revenue after purchasing the company.",0,1
2023-01-04 00:00:00,Man who drove Tesla off cliff with family inside charged with attempted murder,,https://www.nbcnews.com/nightly-news/video/man-who-drove-tesla-off-cliff-with-family-inside-charged-with-attempted-murder-159292485910,NBC,Man who drove Tesla off cliff with family inside charged with attempted murder,1,0
2023-01-04 12:55:56,Tesla Bulls Brace for a Rough Year Ahead,A huge sell-off wiped billions of dollars from the electric carmaker’s market capitalization on Tuesday. Analysts see more trouble ahead.,https://www.nytimes.com/2023/01/04/business/dealbook/tesla-bulls-challenges.html,NYT,Tesla Bulls Brace for a Rough Year Ahead A huge sell-off wiped billions of dollars from the electric carmaker’s market capitalization on Tuesday. Analysts see more trouble ahead.,1,0
