title,url,date_text,summary,date
Two children and two adults survive after Tesla plunges 250 feet off California cliff,https://www.nbcnews.com/news/us-news/two-children-two-adults-survive-tesla-plunges-250-feet-california-clif-rcna63999,"Jan 03, 2023","Two adults and two children, 4 and 9, were rescued from a Tesla that plunged 250 feet off a cliff Monday morning in San Mateo County, California, officials",2023-01-03
Tesla shares tumble following deliveries report,https://www.nbcnews.com/business/business-news/tesla-shares-tumble-on-deliveries-report-rcna64057,"Jan 03, 2023","Shares of Tesla dropped 13% on Tuesday morning, a day after the electric auto maker reported fourth-quarter vehicle production and delivery numbers for 2022.",2023-01-03
Driver arrested for attempted murder after Tesla drove off California cliff,https://www.nbcnews.com/now/video/driver-arrested-for-attempted-murder-after-tesla-drove-off-california-cliff-159226437993,"Jan 03, 2023",,2023-01-03
Four survive 250-foot plunge off Californian cliff in Tesla,https://www.nbcnews.com/video/four-survive-250-foot-plunge-off-californian-cliff-in-tesla-159174725567,"Jan 03, 2023",,2023-01-03
"Tesla driver who plunged his family off California cliff did so on purpose, officials say",https://www.nbcnews.com/news/us-news/tesla-driver-plunged-family-california-cliff-purpose-officials-say-rcna64170,"Jan 03, 2023","A California man intentionally drove a Tesla off a 250-foot cliff in an attempt to kill his family, officials said Tuesday.",2023-01-03
Twitter says it will relax ban on political advertising,https://www.nbcnews.com/politics/politics-news/twitter-says-will-relax-ban-political-advertising-rcna64202,"Jan 04, 2023","Twitter says it will ease up on its ban on political advertising, the latest change by Elon Musk as he tries to pump up revenue after purchasing the company.",2023-01-04
Man who drove Tesla off cliff with family inside charged with attempted murder,https://www.nbcnews.com/nightly-news/video/man-who-drove-tesla-off-cliff-with-family-inside-charged-with-attempted-murder-159292485910,"Jan 04, 2023",,2023-01-04
"Unlikely survival of family that plunged off 250-foot California cliff credited to luck, Tesla's design",https://www.nbcnews.com/news/us-news/luck-tesla-family-plunged-cliff-rcna64547,"Jan 05, 2023","Survival of California family that plunged 250 feet off cliff due to luck, Tesla's design, experts say",2023-01-05
"Elon Musk attorneys try to move trial from California to Texas, citing ‘local negativity’",https://www.nbcnews.com/tech/tech-news/elon-musk-attorneys-try-move-trial-california-texas-citing-local-negat-rcna64745,"Jan 07, 2023","Attorneys for Tesla and Elon Musk are asking a federal judge in San Francisco to move, or delay, a forthcoming trial from Northern California to Western Texas.",2023-01-07
China reopens borders in final farewell to zero-Covid policy,https://www.nbcnews.com/news/world/china-zero-covid-policy-borders-open-lunar-new-year-rcna64776,"Jan 08, 2023","Travelers began streaming into mainland China by air, land and sea on Sunday, many eager for long-awaited reunions, as Beijing opened borders that have been",2023-01-08
Tesla owners in China protest against surprise price cuts they missed,https://www.nbcnews.com/news/world/tesla-owners-china-protest-surprise-price-cuts-missed-rcna64838,"Jan 09, 2023","Hundreds of Tesla owners gathered at the automaker's showrooms and distribution centers in China over the weekend, demanding rebates and credit.",2023-01-09
Musk aims to move Tesla trial from California to Texas,https://www.nbcnews.com/now/video/musk-aims-to-move-tesla-trial-from-california-to-texas-159583813802,"Jan 09, 2023",,2023-01-09
Tesla plans to expand Texas factory,https://www.nbcnews.com/video/tesla-plans-to-expand-texas-gigafactory-159707717870,"Jan 11, 2023",,2023-01-11
Tesla plans to spend more than $770 million on Texas factory expansion,https://www.nbcnews.com/tech/tech-news/tesla-plans-spend-770-million-texas-factory-expansion-rcna65275,"Jan 11, 2023",Tesla has registered with the state of Texas to expand its electric vehicle factory in Austin this year.,2023-01-11
Trial starts over Musk's 2018 claim to take Tesla private,https://www.nbcnews.com/now/video/trial-starts-over-musk-s-2018-claim-to-take-tesla-private-160075333504,"Jan 17, 2023",,2023-01-17
"Tesla video promoting self-driving was staged, engineer testifies",https://www.nbcnews.com/business/business-news/tesla-video-promoting-self-driving-was-staged-engineer-testifies-rcna66150,"Jan 17, 2023",A 2016 video that Tesla used to promote its self-driving technology was staged to show capabilities like stopping at a red light and accelerating at a green,2023-01-17
Twitter auctions off blue bird memorabilia and pricey furniture,https://www.nbcnews.com/tech/tech-news/twitter-auctions-blue-bird-memorabilia-pricey-furniture-rcna66388,"Jan 18, 2023","A neon Twitter bird for $35,000, anyone? How about a used industrial kitchen mixer for a good price? Going once...",2023-01-18
Lawyers spar over whether Elon Musk misled investors with his tweets,https://www.nbcnews.com/business/business-news/tesla-funding-secured-lawsuit-elon-musk-shareholders-opening-statement-rcna66280,"Jan 18, 2023",Opening arguments kicked off Wednesday in a trial that is pitting Tesla against shareholders accusing the company of misleading them over a tweet by Elon Musk,2023-01-18
What to expect from Elon Musk’s trial over 2018 Tesla buyout tweets,https://www.nbcnews.com/now/video/what-to-expect-from-elon-musk-s-trial-over-2018-tesla-buyout-tweets-160108101693,"Jan 18, 2023",,2023-01-18
"Election denialism again spurs political violence, this time in N.M.",https://www.nbcnews.com/meet-the-press/first-read/election-denialism-spurs-political-violence-now-nm-rcna66479,"Jan 19, 2023","Since a brief moment of togetherness after Jan. 6 attacks, Republicans across the nation have refused to accept the premise that election denialism is a danger.",2023-01-19
Elon Musk takes the witness stand in court trial over his failed attempt to take Tesla private,https://www.nbcnews.com/business/business-news/tesla-shareholder-lawsuit-trial-update-elon-musk-rcna66590,"Jan 20, 2023","The court trial to decide whether a tweet Elon Musk sent in 2018 cost Tesla investors millions of dollars will resume Friday, with Musk himself potentially taking the stand.",2023-01-20
Microsoft invests billions in ChatGPT-maker OpenAI,https://www.nbcnews.com/tech/tech-news/microsoft-invests-billions-chatgpt-maker-openai-rcna67011,"Jan 23, 2023","Microsoft says it is making a “multiyear, multibillion dollar investment” in the artificial intelligence startup OpenAI, maker of ChatGPT and other tools that can write readable text and generate new images.",2023-01-23
Lawyers press Elon Musk in second day on witness stand over failed Tesla take-private deal,https://www.nbcnews.com/business/business-news/tesla-shareholders-lawsuit-elon-musk-testimony-what-happened-rcna66986,"Jan 23, 2023","Tesla CEO Elon Musk told a jury Monday in San Francisco that he was merely considering taking Tesla private when he tweeted in 2018 that he had ""secured"" funding to do so — and that the funding was going to come in part from his stake in SpaceX, Musk's rocket company.",2023-01-23
Twitter faces lawsuits over unpaid rent for U.S. HQ and U.K. office,https://www.nbcnews.com/tech/tech-news/twitter-faces-lawsuits-unpaid-rent-us-hq-uk-office-rcna67167,"Jan 24, 2023","More landlords are taking Twitter to court over unpaid rent, this time at the social media company’s headquarters in San Francisco and its British offices.",2023-01-24
